wxid,Timestamp,Text
wxid_bk2z2t2ychyn22,2025-09-04 03:52:12,👀
wxid_9hpjr3hpy6th22,2025-09-04 03:52:17,👀
wxid_bk2z2t2ychyn22,2025-09-04 03:52:28,你不乘噢
wxid_g7u000tjc91t22,2025-09-04 03:52:50,👀
wxid_mugbf0fhylqf22,2025-09-04 03:53:07,👀
wxid_ribvfadnmikw22,2025-09-04 03:53:07,之前在食堂偶遇的[捂脸]
wxid_ribvfadnmikw22,2025-09-04 03:53:20,@25 匡院 苏涵瑜 我在你右前方
wxid_1vaqhsp5n5hs22,2025-09-04 03:53:21,在会议上回忆吗
wxid_mugbf0fhylqf22,2025-09-04 03:53:21,你上课不乘噢
wxid_dkg4wum8hbxe22,2025-09-04 03:53:23,xm社牛
wxid_1vaqhsp5n5hs22,2025-09-04 03:53:29,真的很无聊了
wxid_1vaqhsp5n5hs22,2025-09-04 03:53:34,xm社牛
wxid_g7u000tjc91t22,2025-09-04 03:53:38,[表情包]
wxid_g7u000tjc91t22,2025-09-04 03:53:55,[表情包]
wxid_ribvfadnmikw22,2025-09-04 03:54:01,我说现在@25 匡院 苏涵瑜 
wxid_9hpjr3hpy6th22,2025-09-04 03:54:22,[捂脸]
wxid_mugbf0fhylqf22,2025-09-04 03:54:58,我忘不掉苏州的跑道[吃瓜]
wxid_6djxj0s8zolf22,2025-09-04 03:55:48,薰衣草紫💜
wxid_mugbf0fhylqf22,2025-09-04 03:56:06,不是凉学姐色吗[疑问]
wxid_6djxj0s8zolf22,2025-09-04 03:56:11,山田凉蓝
wxid_6djxj0s8zolf22,2025-09-04 03:56:23,东西两个操场（）
wxid_6djxj0s8zolf22,2025-09-04 03:57:05,欢迎新人 @25 匡院 洪翌铭 
wxid_g7u000tjc91t22,2025-09-04 03:57:16,[耶][耶][耶]
wxid_g7u000tjc91t22,2025-09-04 03:57:20,大佬们好
wxid_mugbf0fhylqf22,2025-09-04 03:57:40,( ⌯' '⌯)👏🏻
wxid_6djxj0s8zolf22,2025-09-04 03:58:06,是你们院的噢
wxid_g7u000tjc91t22,2025-09-04 03:58:16,[表情包]
wxid_mugbf0fhylqf22,2025-09-04 03:58:19,笑死了这个拍一拍
wxid_y8mcgwqg8bbz32,2025-09-04 03:58:24,匡院大神啊。
wxid_9ew2g0m2im9u21,2025-09-04 03:58:29,大神
wxid_mugbf0fhylqf22,2025-09-04 03:58:34,cjdsa
wxid_g7u000tjc91t22,2025-09-04 03:58:35,[表情包]
wxid_y8mcgwqg8bbz32,2025-09-04 04:04:14,好巧
wxid_y8mcgwqg8bbz32,2025-09-04 04:04:18,我也是六排。
wxid_g7u000tjc91t22,2025-09-04 04:04:45,[表情包]
wxid_g7u000tjc91t22,2025-09-04 04:08:08,天哪我才3分钟没看群感觉被盒完了
wxid_g7u000tjc91t22,2025-09-04 04:09:06,[表情包]
wxid_1vaqhsp5n5hs22,2025-09-04 04:09:49,请问是南大匡院的洪同学吗
wxid_g7u000tjc91t22,2025-09-04 04:09:56,是的是的
wxid_ribvfadnmikw22,2025-09-04 04:09:56,[转圈]
wxid_g7u000tjc91t22,2025-09-04 04:09:56,[表情包]
wxid_g7u000tjc91t22,2025-09-04 04:10:00,[旺柴][旺柴][旺柴]
wxid_urt2jnq879zd29,2025-09-04 04:11:14,用screentogif，一个软件
voup_w,2025-09-04 04:11:21,我用的是LICEcap
wxid_urt2jnq879zd29,2025-09-04 04:11:34,👀
wxid_urt2jnq879zd29,2025-09-04 04:13:34,搜了一下，还有不少
wxid_g7u000tjc91t22,2025-09-04 04:13:36,[图片]
wxid_g7u000tjc91t22,2025-09-04 04:24:02,[图片]
wxid_urt2jnq879zd29,2025-09-04 04:24:16,[惊讶]
wxid_pu9b9bpup9jk22,2025-09-04 04:24:17,这是怎样啊
wxid_urt2jnq879zd29,2025-09-04 04:25:12,再试一遍，还是这样吗[疑问]
